alive,age,new_state,new_prob
1,0,0,0.000176496
1,1,0,1.21E-05
1,2,0,7.97E-06
1,3,0,6.48E-06
1,4,0,4.82E-06
1,5,0,4.06E-06
1,6,0,3.93E-06
1,7,0,3.76E-06
1,8,0,4.05E-06
1,9,0,3.42E-06
1,10,0,3.90E-06
1,11,0,3.91E-06
1,12,0,4.34E-06
1,13,0,5.41E-06
1,14,0,7.11E-06
1,15,0,1.07E-05
1,16,0,1.51E-05
1,17,0,2.02E-05
1,18,0,2.86E-05
1,19,0,3.35E-05
1,20,0,3.67E-05
1,21,0,4.43E-05
1,22,0,4.63E-05
1,23,0,4.98E-05
1,24,0,5.31E-05
1,25,0,5.60E-05
1,26,0,5.42E-05
1,27,0,5.60E-05
1,28,0,5.78E-05
1,29,0,5.51E-05
1,30,0,5.73E-05
1,31,0,5.82E-05
1,32,0,6.02E-05
1,33,0,6.15E-05
1,34,0,6.46E-05
1,35,0,6.56E-05
1,36,0,6.72E-05
1,37,0,6.73E-05
1,38,0,6.77E-05
1,39,0,6.92E-05
1,40,0,6.86E-05
1,41,0,7.41E-05
1,42,0,7.45E-05
1,43,0,8.61E-05
1,44,0,9.44E-05
1,45,0,0.000105829
1,46,0,0.000114981
1,47,0,0.000120553
1,48,0,0.000130147
1,49,0,0.000143195
1,50,0,0.000162057
1,51,0,0.000183806
1,52,0,0.000213035
1,53,0,0.000234126
1,54,0,0.000259974
1,55,0,0.000289254
1,56,0,0.000309726
1,57,0,0.000341553
1,58,0,0.000366484
1,59,0,0.000400026
1,60,0,0.00041878
1,61,0,0.000455488
1,62,0,0.000477246
1,63,0,0.000498199
1,64,0,0.000530938
1,65,0,0.0005555
1,66,0,0.000578665
1,67,0,0.000620623
1,68,0,0.000681395
1,69,0,0.000771516
1,70,0,0.00066025
1,71,0,0.000717891
1,72,0,0.000792097
1,73,0,0.000897972
1,74,0,0.000898507
1,75,0,0.000935683
1,76,0,0.000980702
1,77,0,0.001059873
1,78,0,0.001134319
1,79,0,0.001219578
1,80,0,0.001338169
1,81,0,0.001467105
1,82,0,0.001550589
1,83,0,0.001728847
1,84,0,0.001957098
1,85,0,0.002193295
1,86,0,0.002488743
1,87,0,0.002746056
1,88,0,0.003117668
1,89,0,0.003542984
1,90,0,0.0039283
1,91,0,0.004430439
1,92,0,0.004962385
1,93,0,0.005531291
1,94,0,0.006252795
1,95,0,0.006970845
1,96,0,0.007656518
1,97,0,0.007732483
1,98,0,0.008931103
1,99,0,0.009266223
1,100,0,1
