vaccinated,pox_status,pox_aware,alive,race,age_bucket,new_state,new_prob
0,0,0,1,0,1,1,0.0251
0,0,0,1,0,2,1,0.04769
0,0,0,1,0,3,1,0.0251
0,0,0,1,0,4,1,0.0251
0,0,0,1,0,5,1,0.0251
0,0,0,1,1,1,1,0.016315
0,0,0,1,1,2,1,0.0309985
0,0,0,1,1,3,1,0.016315
0,0,0,1,1,4,1,0.016315
0,0,0,1,1,5,1,0.016315
0,0,0,1,2,1,1,0.03765
0,0,0,1,2,2,1,0.071535
0,0,0,1,2,3,1,0.03765
0,0,0,1,2,4,1,0.03765
0,0,0,1,2,5,1,0.03765
0,1,0,1,0,1,1,0.0251
0,1,0,1,0,2,1,0.04769
0,1,0,1,0,3,1,0.0251
0,1,0,1,0,4,1,0.0251
0,1,0,1,0,5,1,0.0251
0,1,0,1,1,1,1,0.016315
0,1,0,1,1,2,1,0.0309985
0,1,0,1,1,3,1,0.016315
0,1,0,1,1,4,1,0.016315
0,1,0,1,1,5,1,0.016315
0,1,0,1,2,1,1,0.03765
0,1,0,1,2,2,1,0.071535
0,1,0,1,2,3,1,0.03765
0,1,0,1,2,4,1,0.03765
0,1,0,1,2,5,1,0.03765
0,1,1,1,0,1,1,0.95
0,1,1,1,0,2,1,0.95
0,1,1,1,0,3,1,0.95
0,1,1,1,0,4,1,0.95
0,1,1,1,0,5,1,0.95
0,1,1,1,1,1,1,0.95
0,1,1,1,1,2,1,0.95
0,1,1,1,1,3,1,0.95
0,1,1,1,1,4,1,0.95
0,1,1,1,1,5,1,0.95
0,1,1,1,2,1,1,0.95
0,1,1,1,2,2,1,0.95
0,1,1,1,2,3,1,0.95
0,1,1,1,2,4,1,0.95
0,1,1,1,2,5,1,0.95
